DATE,IPI,NFP,CPI,FederalFundRate,RetailSales
2008-07-01,102.4071,137497,219.016,2.01,336570
2008-08-01,100.8875,137230,218.69,2,333836
2008-09-01,96.5439,136780,218.877,1.81,328031
2008-10-01,97.4562,136306,216.995,0.97,314648
2008-11-01,96.2593,135540,213.153,0.39,301638
2008-12-01,93.4434,134846,211.398,0.16,294241
2009-01-01,91.2317,134053,211.933,0.15,298823
2009-02-01,90.6389,133351,212.705,0.22,297795
2009-03-01,89.1913,132528,212.495,0.18,292427
2009-04-01,88.3876,131841,212.709,0.15,293575
2009-05-01,87.4424,131492,213.022,0.18,296560
2009-06-01,87.065,131021,214.79,0.21,301858
2009-07-01,87.981,130692,214.726,0.16,302514
2009-08-01,88.9534,130479,215.445,0.16,309012
2009-09-01,89.6229,130259,215.861,0.15,300953
2009-10-01,89.9136,130055,216.509,0.12,304078
2009-11-01,90.2811,130053,217.234,0.12,306799
2009-12-01,90.5265,129778,217.347,0.12,308518
2010-01-01,91.5636,129801,217.488,0.11,308751
2010-02-01,91.8988,129733,217.281,0.13,308568
2010-03-01,92.5394,129897,217.353,0.16,316150
2010-04-01,92.928,130140,217.403,0.2,318437
2010-05-01,94.3244,130664,217.29,0.2,315608
2010-06-01,94.5056,130527,217.199,0.18,314973
2010-07-01,94.9417,130459,217.605,0.18,315424
2010-08-01,95.3385,130423,217.923,0.19,317103
2010-09-01,95.6063,130371,218.275,0.19,319901
2010-10-01,95.3785,130633,219.035,0.19,324218
2010-11-01,95.4163,130752,219.59,0.19,327620
2010-12-01,96.2444,130839,220.472,0.18,329707
2011-01-01,96.1454,130882,221.187,0.17,332559
2011-02-01,95.7235,131071,221.898,0.16,334544
2011-03-01,96.6445,131296,223.046,0.14,337858
2011-04-01,96.2727,131642,224.093,0.1,340212
2011-05-01,96.4871,131719,224.806,0.09,339352
2011-06-01,96.715,131944,224.806,0.09,341532
2011-07-01,97.1317,132013,225.395,0.07,341414
2011-08-01,97.7027,132123,226.106,0.1,342104
2011-09-01,97.6288,132371,226.597,0.08,345346
2011-10-01,98.3224,132580,226.75,0.07,348095
2011-11-01,98.1979,132721,227.169,0.08,349379
2011-12-01,98.6923,132930,227.223,0.07,349798
2012-01-01,99.3264,133288,227.842,0.08,352643
2012-02-01,99.6217,133525,228.329,0.1,357047
2012-03-01,99.0674,133758,228.807,0.13,358917
2012-04-01,99.8626,133836,229.187,0.14,356669
2012-05-01,100.0384,133951,228.713,0.16,356057
2012-06-01,100.0677,134027,228.524,0.16,352240
2012-07-01,100.304,134170,228.59,0.16,353671
2012-08-01,99.9132,134347,229.918,0.13,358149
2012-09-01,99.9138,134550,231.015,0.14,361618
2012-10-01,100.2063,134696,231.638,0.16,362081
2012-11-01,100.7003,134828,231.249,0.16,362959
2012-12-01,100.9782,135072,231.221,0.16,364585
2013-01-01,100.8955,135283,231.612,0.14,367229
2013-02-01,101.4671,135569,232.985,0.15,371742
2013-03-01,101.772,135699,232.299,0.14,368806
2013-04-01,101.6802,135896,231.795,0.15,367944
2013-05-01,101.6916,136122,231.916,0.11,369297
2013-06-01,101.873,136284,232.374,0.09,371097
2013-07-01,101.297,136406,232.889,0.09,373235
2013-08-01,102.0772,136667,233.323,0.08,372370
2013-09-01,102.5705,136857,233.632,0.08,372188
2013-10-01,102.4728,137069,233.718,0.09,373677
2013-11-01,102.8086,137327,234.121,0.08,374102
2013-12-01,103.0979,137374,234.723,0.09,376786
2014-01-01,102.6063,137564,235.385,0.07,373079
2014-02-01,103.6292,137715,235.672,0.07,377749
2014-03-01,104.5546,137987,235.978,0.08,382663
2014-04-01,104.7807,138316,236.471,0.09,386533
2014-05-01,105.0799,138562,236.832,0.09,386798
2014-06-01,105.4698,138866,237.029,0.1,387342
2014-07-01,105.4919,139068,237.424,0.09,387623
2014-08-01,105.425,139298,237.256,0.09,391162
2014-09-01,105.7329,139578,237.486,0.09,389808
2014-10-01,105.7898,139805,237.506,0.09,390708
2014-11-01,106.6134,140117,237.118,0.09,392405
2014-12-01,106.3797,140372,236.29,0.12,388894
2015-01-01,105.6148,140606,234.913,0.11,385630
2015-02-01,105.4321,140844,235.489,0.11,383816
2015-03-01,105.0745,140930,235.989,0.11,391247
2015-04-01,104.6624,141192,236.201,0.12,390624
2015-05-01,104.2843,141536,236.891,0.12,394564
2015-06-01,103.9927,141742,237.419,0.13,394465
2015-07-01,104.515,141996,237.876,0.13,397256
2015-08-01,104.5091,142153,237.811,0.14,397197
2015-09-01,104.2038,142253,237.467,0.14,397083
2015-10-01,104.0045,142574,237.792,0.12,395853
2015-11-01,103.3965,142846,238.153,0.12,397463
2015-12-01,102.9179,143085,237.846,0.24,398762
2016-01-01,103.4822,143211,238.106,0.34,395246
2016-02-01,103.2685,143448,237.808,0.38,396930
2016-03-01,102.5263,143673,238.078,0.36,397086
2016-04-01,102.8697,143826,238.908,0.37,399739
2016-05-01,102.7552,143869,239.362,0.37,401076
2016-06-01,103.1249,144166,239.842,0.38,405580
2016-07-01,103.2173,144457,239.898,0.39,404835
,,,,,
